application_id,customer_id,vehicle_brand,vehicle_model,vehicle_year,vehicle_price_eur,loan_amount_eur,down_payment_eur,loan_term_months,interest_rate,monthly_payment_eur,application_date,approval_status,employment_status,credit_score,debt_to_income_ratio,previous_loans,loan_purpose,finance_type,vehicle_fuel_type,vehicle_category
APP083,CUST1083,Subaru,Outback,2024,41000,36900,4100,48,4.00,830,2026-02-26,approved,Full-time,730,30,0,Private,Installment,Petrol,SUV
APP084,CUST1084,Suzuki,Vitara,2024,24000,21600,2400,48,3.30,485,2026-02-26,approved,Full-time,710,32,1,Private,Installment,Petrol,SUV
APP085,CUST1085,Lexus,UX,2024,38000,34200,3800,48,4.00,774,2026-02-27,approved,Full-time,750,26,0,Private,Installment,Hybrid,SUV
APP086,CUST1086,Mitsubishi,Eclipse,2024,33000,29700,3300,48,3.70,669,2026-02-27,approved,Full-time,720,30,1,Private,Installment,Petrol,SUV
APP087,CUST1087,Volvo,XC40,2024,46000,41400,4600,48,4.30,950,2026-02-28,approved,Full-time,760,28,0,Private,Installment,Diesel,SUV
APP088,CUST1088,Jaguar,I-PACE,2024,75000,67500,7500,48,5.00,1554,2026-02-28,approved,Self-employed,740,32,0,Private,EV Finance,Electric,SUV
APP089,CUST1089,Land Rover,Discovery,2024,65000,58500,6500,60,5.20,1111,2026-03-01,approved,Full-time,780,26,0,Private,Installment,Diesel,SUV
APP090,CUST1090,Polestar,3,2024,75000,67500,7500,48,5.10,1559,2026-03-01,approved,Full-time,790,24,0,Private,EV Finance,Electric,SUV
APP091,CUST1091,BYD,Atto 3,2024,40000,36000,4000,48,4.00,811,2026-03-02,approved,Full-time,750,28,0,Private,EV Finance,Electric,SUV
APP092,CUST1092,Renault,Scenic,2024,35000,31500,3500,48,3.60,710,2026-03-02,approved,Full-time,720,32,1,Private,Installment,Petrol,SUV
APP093,CUST1093,Peugeot,508,2024,40000,36000,4000,48,3.80,811,2026-03-03,approved,Full-time,730,30,0,Private,Installment,Diesel,Sedan
APP094,CUST1094,Citroën,C4,2024,30000,27000,3000,48,3.50,608,2026-03-03,approved,Self-employed,700,34,1,Private,Installment,Petrol,Hatchback
APP095,CUST1095,Fiat,500X,2024,26000,23400,2600,48,3.40,526,2026-03-04,approved,Full-time,710,32,0,Private,Installment,Petrol,SUV
APP096,CUST1096,BMW,M2,2024,70000,63000,7000,48,5.30,1458,2026-03-04,approved,Full-time,790,22,0,Private,Installment,Petrol,Coupe
APP097,CUST1097,Mercedes-Benz,CLS,2024,85000,76500,8500,48,5.60,1788,2026-03-05,approved,Full-time,800,20,0,Private,Installment,Diesel,Sedan
APP098,CUST1098,Audi,RS6,2024,120000,108000,12000,60,6.00,2097,2026-03-05,approved,Self-employed,770,28,0,Private,Installment,Petrol,Wagon
APP099,CUST1099,Volkswagen,Arteon,2024,50000,45000,5000,48,4.20,1033,2026-03-06,approved,Full-time,740,30,0,Private,Installment,Diesel,Sedan
APP100,CUST1100,Tesla,Roadster,2024,150000,135000,15000,60,6.50,2630,2026-03-06,approved,Full-time,850,15,0,Private,EV Finance,Electric,Sports
APP101,CUST1101,BMW,X5 M,2024,95000,85500,9500,60,5.80,1646,2026-03-07,approved,Full-time,810,20,0,Private,Installment,Petrol,SUV
APP102,CUST1102,Mercedes-Benz,GLE,2024,75000,67500,7500,60,5.40,1285,2026-03-07,approved,Full-time,780,24,0,Private,Installment,Diesel,SUV
APP103,CUST1103,Audi,R8,2024,160000,144000,16000,60,6.80,2835,2026-03-08,approved,Self-employed,800,18,0,Private,Installment,Petrol,Sports
APP104,CUST1104,Porsche,Taycan,2024,110000,99000,11000,48,5.90,2320,2026-03-08,approved,Full-time,830,16,0,Private,EV Finance,Electric,Sports
APP105,CUST1105,Porsche,Cayenne,2024,95000,85500,9500,60,5.70,1640,2026-03-09,approved,Full-time,820,18,0,Private,Installment,Diesel,SUV
APP106,CUST1106,BMW,8 Series,2024,100000,90000,10000,60,6.00,1730,2026-03-09,approved,Full-time,810,20,0,Private,Installment,Diesel,Coupe
APP107,CUST1107,Mercedes-Benz,G-Class,2024,160000,144000,16000,60,6.80,2835,2026-03-10,approved,Full-time,850,15,0,Private,Installment,Diesel,SUV
APP108,CUST1108,Audi,A3,2024,35000,31500,3500,48,3.70,710,2026-03-10,approved,Full-time,720,30,1,Private,Installment,Petrol,Hatchback
APP109,CUST1109,Volkswagen,ID.3,2024,40000,36000,4000,48,3.90,811,2026-03-11,approved,Full-time,740,28,0,Private,EV Finance,Electric,Hatchback
APP110,CUST1110,Ford,Bronco,2024,50000,45000,5000,48,4.20,1033,2026-03-11,approved,Self-employed,730,32,0,Private,Installment,Petrol,SUV
APP111,CUST1111,Toyota,GR Supra,2024,60000,54000,6000,48,4.50,1243,2026-03-12,approved,Full-time,780,24,0,Private,Installment,Petrol,Sports
APP112,CUST1112,Honda,NSX,2024,160000,144000,16000,60,6.50,2814,2026-03-12,approved,Full-time,840,16,0,Private,Installment,Petrol,Sports
APP113,CUST1113,Nissan,GT-R,2024,120000,108000,12000,60,6.30,2109,2026-03-13,approved,Full-time,800,20,0,Private,Installment,Petrol,Sports
APP114,CUST1114,Mazda,MX-5,2024,32000,28800,3200,48,3.80,650,2026-03-13,approved,Full-time,730,28,0,Private,Installment,Petrol,Sports
APP115,CUST1115,Hyundai,IONIQ 6,2024,46000,41400,4600,48,4.10,950,2026-03-14,approved,Full-time,760,26,0,Private,EV Finance,Electric,Sedan
APP116,CUST1116,Kia,EV9,2024,65000,58500,6500,48,4.30,1340,2026-03-14,approved,Full-time,780,24,0,Private,EV Finance,Electric,SUV
APP117,CUST1117,Subaru,WRX,2024,40000,36000,4000,48,4.00,811,2026-03-15,approved,Full-time,740,30,0,Private,Installment,Petrol,Sedan
APP118,CUST1118,Suzuki,Jimny,2024,25000,22500,2500,48,3.30,507,2026-03-15,approved,Full-time,710,32,1,Private,Installment,Petrol,SUV
APP119,CUST1119,Lexus,RX,2024,60000,54000,6000,48,4.50,1243,2026-03-16,approved,Full-time,790,22,0,Private,Installment,Hybrid,SUV
APP120,CUST1120,Mitsubishi,Pajero,2024,45000,40500,4500,48,4.00,923,2026-03-16,approved,Self-employed,730,30,0,Private,Installment,Diesel,SUV
APP121,CUST1121,Volvo,S90,2024,55000,49500,5500,48,4.50,1139,2026-03-17,approved,Full-time,770,26,0,Private,Installment,Diesel,Sedan
APP122,CUST1122,Jaguar,XF,2024,50000,45000,5000,48,4.40,1033,2026-03-17,approved,Full-time,750,28,0,Private,Installment,Diesel,Sedan
APP123,CUST1123,Land Rover,Range Rover,2024,120000,108000,12000,60,6.00,2097,2026-03-18,approved,Full-time,820,18,0,Private,Installment,Diesel,SUV
APP124,CUST1124,Polestar,4,2024,70000,63000,7000,48,4.90,1448,2026-03-18,approved,Full-time,790,24,0,Private,EV Finance,Electric,SUV
APP125,CUST1125,BYD,Dolphin,2024,35000,31500,3500,48,3.90,710,2026-03-19,approved,Full-time,740,28,0,Private,EV Finance,Electric,Hatchback
APP126,CUST1126,Renault,Clio,2024,20000,18000,2000,36,3.10,526,2026-03-19,approved,Full-time,700,30,0,Private,Installment,Petrol,Hatchback
APP127,CUST1127,Peugeot,208,2024,22000,19800,2200,36,3.20,579,2026-03-20,approved,Full-time,710,28,0,Private,Installment,Petrol,Hatchback
APP128,CUST1128,Citroën,C3,2024,19000,17100,1900,36,3.00,500,2026-03-20,approved,Self-employed,690,32,1,Private,Installment,Petrol,Hatchback
APP129,CUST1129,Fiat,Panda,2024,16000,14400,1600,36,2.90,420,2026-03-21,approved,Full-time,690,30,0,Private,Installment,Petrol,Hatchback
APP130,CUST1130,Volkswagen,Up,2024,15000,13500,1500,36,2.80,394,2026-03-21,approved,Full-time,710,28,0,Private,Installment,Petrol,Hatchback
APP131,CUST1131,Skoda,Octavia,2024,30000,27000,3000,48,3.60,608,2026-03-22,approved,Full-time,720,30,0,Private,Installment,Diesel,Sedan
APP132,CUST1132,Skoda,Superb,2024,35000,31500,3500,48,3.70,710,2026-03-22,approved,Full-time,740,28,0,Private,Installment,Diesel,Sedan
APP133,CUST1133,Skoda,Kodiaq,2024,40000,36000,4000,48,3.80,811,2026-03-23,approved,Full-time,730,30,0,Private,Installment,Diesel,SUV
APP134,CUST1134,Skoda,Enyaq,2024,48000,43200,4800,48,4.10,991,2026-03-23,approved,Full-time,760,26,0,Private,EV Finance,Electric,SUV
APP135,CUST1135,Seat,Leon,2024,28000,25200,2800,48,3.50,566,2026-03-24,approved,Full-time,710,32,0,Private,Installment,Petrol,Hatchback
APP136,CUST1136,Seat,Ateca,2024,32000,28800,3200,48,3.60,650,2026-03-24,approved,Full-time,720,30,0,Private,Installment,Diesel,SUV
APP137,CUST1137,Seat,Tarraco,2024,38000,34200,3800,48,3.70,771,2026-03-25,approved,Self-employed,730,30,0,Private,Installment,Diesel,SUV
APP138,CUST1138,Cupra,Formentor,2024,40000,36000,4000,48,3.80,811,2026-03-25,approved,Full-time,740,28,0,Private,Installment,Diesel,SUV
APP139,CUST1139,Cupra,Born,2024,42000,37800,4200,48,3.90,862,2026-03-26,approved,Full-time,750,26,0,Private,EV Finance,Electric,Hatchback
APP140,CUST1140,Dacia,Spring,2024,20000,18000,2000,36,3.10,526,2026-03-26,approved,Full-time,700,30,0,Private,EV Finance,Electric,SUV
APP141,CUST1141,Dacia,Duster,2024,25000,22500,2500,48,3.30,507,2026-03-27,approved,Full-time,710,32,0,Private,Installment,Petrol,SUV
APP142,CUST1142,Dacia,Logan,2024,22000,19800,2200,48,3.20,447,2026-03-27,approved,Self-employed,690,34,0,Private,Installment,Petrol,Sedan
APP143,CUST1143,Alfa Romeo,Giulia,2024,45000,40500,4500,48,4.30,923,2026-03-28,approved,Full-time,730,28,0,Private,Installment,Petrol,Sedan
APP144,CUST1144,Alfa Romeo,Stelvio,2024,50000,45000,5000,48,4.40,1033,2026-03-28,approved,Full-time,750,26,0,Private,Installment,Diesel,SUV
APP145,CUST1145,Maserati,Ghibli,2024,90000,81000,9000,48,5.60,1892,2026-03-29,approved,Full-time,800,20,0,Private,Installment,Diesel,Sedan
APP146,CUST1146,Maserati,Levante,2024,100000,90000,10000,48,5.80,2094,2026-03-29,approved,Self-employed,810,18,0,Private,Installment,Diesel,SUV
APP147,CUST1147,Lamborghini,Urus,2024,200000,180000,20000,60,7.00,3562,2026-03-30,approved,Full-time,860,12,0,Private,Installment,Petrol,SUV
APP148,CUST1148,Ferrari,Roma,2024,250000,225000,25000,60,7.50,4500,2026-03-30,approved,Full-time,880,10,0,Private,Installment,Petrol,Coupe
APP149,CUST1149,Aston Martin,DBX,2024,180000,162000,18000,60,6.80,3191,2026-03-31,approved,Full-time,840,14,0,Private,Installment,Petrol,SUV
APP150,CUST1150,Bentley,Bentayga,2024,200000,180000,20000,60,7.00,3562,2026-03-31,approved,Full-time,860,12,0,Private,Installment,Diesel,SUV
APP151,CUST1151,BMW,1 Series,2024,30000,27000,3000,48,3.70,608,2026-04-01,approved,Full-time,720,32,0,Private,Installment,Petrol,Hatchback
APP152,CUST1152,BMW,2 Series,2024,35000,31500,3500,48,3.80,710,2026-04-01,approved,Full-time,730,30,0,Private,Installment,Petrol,Coupe
APP153,CUST1153,BMW,4 Series,2024,45000,40500,4500,48,4.20,923,2026-04-02,approved,Full-time,740,28,0,Private,Installment,Diesel,Coupe
APP154,CUST1154,BMW,6 Series,2024,65000,58500,6500,48,4.80,1347,2026-04-02,approved,Self-employed,760,26,0,Private,Installment,Diesel,Coupe
APP155,CUST1155,BMW,i3,2024,40000,36000,4000,48,3.90,811,2026-04-03,approved,Full-time,750,28,0,Private,EV Finance,Electric,Hatchback
APP156,CUST1156,Mercedes-Benz,A-Class,2024,32000,28800,3200,48,3.60,650,2026-04-03,approved,Full-time,720,32,0,Private,Installment,Petrol,Hatchback
APP157,CUST1157,Mercedes-Benz,B-Class,2024,35000,31500,3500,48,3.70,710,2026-04-04,approved,Full-time,730,30,0,Private,Installment,Petrol,Hatchback
APP158,CUST1158,Mercedes-Benz,CLA,2024,40000,36000,4000,48,3.80,811,2026-04-04,approved,Full-time,740,28,0,Private,Installment,Diesel,Coupe
APP159,CUST1159,Mercedes-Benz,GLC Coupe,2024,65000,58500,6500,48,4.80,1347,2026-04-05,approved,Full-time,760,26,0,Private,Installment,Diesel,SUV
APP160,CUST1160,Mercedes-Benz,GLE Coupe,2024,80000,72000,8000,48,5.20,1667,2026-04-05,approved,Full-time,780,24,0,Private,Installment,Diesel,SUV
APP161,CUST1161,Audi,A1,2024,26000,23400,2600,48,3.40,526,2026-04-06,approved,Full-time,710,32,0,Private,Installment,Petrol,Hatchback
APP162,CUST1162,Audi,A5,2024,45000,40500,4500,48,4.20,923,2026-04-06,approved,Full-time,740,28,0,Private,Installment,Diesel,Coupe
APP163,CUST1163,Audi,A7,2024,65000,58500,6500,48,4.80,1347,2026-04-07,approved,Self-employed,760,26,0,Private,Installment,Diesel,Sedan
APP164,CUST1164,Audi,Q2,2024,30000,27000,3000,48,3.60,608,2026-04-07,approved,Full-time,720,32,0,Private,Installment,Petrol,SUV
APP165,CUST1165,Audi,Q8,2024,85000,76500,8500,48,5.40,1769,2026-04-08,approved,Full-time,790,22,0,Private,Installment,Diesel,SUV
APP166,CUST1166,Volkswagen,Polo,2024,20000,18000,2000,36,3.10,526,2026-04-08,approved,Full-time,700,30,0,Private,Installment,Petrol,Hatchback
APP167,CUST1167,Volkswagen,Taigo,2024,26000,23400,2600,48,3.40,526,2026-04-09,approved,Full-time,710,32,0,Private,Installment,Petrol,SUV
APP168,CUST1168,Volkswagen,Touareg,2024,65000,58500,6500,48,4.80,1347,2026-04-09,approved,Full-time,760,26,0,Private,Installment,Diesel,SUV
APP169,CUST1169,Volkswagen,Multivan,2024,50000,45000,5000,48,4.30,1033,2026-04-10,approved,Full-time,740,28,0,Private,Installment,Diesel,Van
APP170,CUST1170,Volkswagen,California,2024,55000,49500,5500,48,4.50,1139,2026-04-10,approved,Self-employed,750,26,0,Private,Installment,Diesel,Van
APP171,CUST1171,Ford,Fiesta,2024,22000,19800,2200,36,3.20,579,2026-04-11,approved,Full-time,710,30,0,Private,Installment,Petrol,Hatchback
APP172,CUST1172,Ford,Puma,2024,28000,25200,2800,48,3.50,566,2026-04-11,approved,Full-time,720,32,0,Private,Installment,Petrol,SUV
APP173,CUST1173,Ford,Mondeo,2024,35000,31500,3500,48,3.70,710,2026-04-12,approved,Full-time,730,30,0,Private,Installment,Diesel,Sedan
APP174,CUST1174,Ford,S-MAX,2024,40000,36000,4000,48,3.80,811,2026-04-12,approved,Full-time,740,28,0,Private,Installment,Diesel,MPV
